# Sat Feb 18 01:08:21 2017
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

53200 9 2.33209 30 0.746837 1.86653 
53300 8 2.36135 30 0.679762 1.76626 
53400 10 2.31965 34 0.78674 1.93038 
53500 9 2.37907 32 0.707607 1.81545 
53600 9 2.30328 30 0.754716 1.88616 
53700 9 2.23294 29 0.783354 1.92202 
53800 9 2.39041 31 0.69667 1.78504 
53900 9 2.29198 29 0.749569 1.87323 
54000 8 2.29536 29 0.693005 1.78935 
54100 8 2.19122 28 0.767879 1.89286 
54200 8 2.30179 29 0.654739 1.73449 
54300 8 2.26794 29 0.723224 1.831 
54400 8 2.3231 30 0.693668 1.79797 
54500 9 2.29234 27 0.754838 1.86842 
54600 8 2.26286 29 0.751939 1.87027 
54700 10 2.26113 28 0.745402 1.85509 
54800 9 2.28113 29 0.764542 1.88695 
54900 8 2.37388 27 0.676725 1.74659 
55000 8 2.34008 30 0.743473 1.85008 
55100 9 2.34935 31 0.66145 1.74041 
55200 8 2.2224 28 0.746922 1.8795 
55300 8 2.18667 30 0.739169 1.86199 
55400 9 2.20491 29 0.721541 1.84069 
55500 8 2.18898 29 0.804414 1.96058 
55600 8 2.41152 31 0.678279 1.75775 
55700 8 2.25418 32 0.775882 1.91621 
55800 8 2.4567 28 0.711794 1.81633 
55900 9 2.24956 31 0.765066 1.90141 
56000 8 2.41617 30 0.698658 1.7892 
56100 9 2.31667 31 0.770767 1.90912 
56200 8 2.42861 30 0.773924 1.89799 
56300 9 2.37822 31 0.716707 1.81485 
56400 9 2.42744 36 0.752622 1.87761 
56500 9 2.58536 35 0.670192 1.72757 
56600 9 2.3067 36 0.845899 2.01304 
56700 9 2.48079 38 0.727309 1.83783 
56800 8 2.20877 35 0.819747 1.99565 
56900 8 2.38116 38 0.782493 1.93706 
57000 8 2.32347 39 0.772459 1.92429 
57100 8 2.35368 40 0.754238 1.89398 
57200 8 2.45313 38 0.704706 1.82503 
57300 8 2.42927 38 0.762559 1.90268 
57400 8 2.39917 39 0.787833 1.93184 
57500 9 2.39291 40 0.79166 1.94485 
57600 9 2.29231 36 0.801586 1.97182 
57700 9 2.32584 36 0.772237 1.89188 
57800 9 2.39128 36 0.775221 1.92149 
57900 9 2.37224 37 0.714623 1.80759 
58000 9 2.29889 36 0.746728 1.87842 
58100 9 2.37379 39 0.679663 1.77677 
58200 10 2.32367 38 0.696884 1.80978 
