# Avida deme replication data
# Sat Feb 18 01:08:21 2017
#  1: Update [update]
#  2: Number of deme replications [numrepl]
#  3: Mean deme gestation time [gesttime]
#  4: Mean number of births within replicated demes [numbirths]
#  5: Mean heritable merit of replicated demes [merit]
#  6: Mean generation of replicated demes [generation]
#  7: Mean density of replicated demes [density]

49000 65 261.415 246.4 1 173.615 0.999385 
49100 81 261.654 249 1 174.519 1 
49200 111 258.162 232.964 1 173.378 1 
49300 77 261 246.506 1 175.429 1 
49400 108 240.602 212.426 1 174.667 1 
49500 60 246.5 238.583 1 176.15 1 
49600 135 247.889 217.022 1 175.452 1 
49700 56 277.929 277.946 1 176.839 1 
49800 107 246.093 228.748 1 177.879 1 
49900 83 263.084 239.94 1 176.084 1 
50000 75 258.32 244.587 1 178.6 1 
50100 110 246.564 216.709 1 178.109 1 
50200 79 247.532 230.57 1 180.051 1 
50300 100 258.01 235.44 1 179.1 1 
50400 75 244.653 208.707 1 181.92 0.999467 
50500 97 246.278 223.619 1 180.577 1 
50600 96 243.667 218.458 1 182.5 1 
50700 79 266.835 225.911 1 182.076 0.999494 
50800 100 240.83 215.37 1 182.28 1 
50900 101 258.554 236.05 1 184.119 1 
51000 110 254.536 226.918 1 182.364 1 
51100 61 263.41 252.131 1 184.148 1 
51200 108 236.269 211.537 1 186.157 1 
51300 78 268.5 243.449 1 183.513 1 
51400 100 243.45 221.94 1 187.21 1 
51500 85 265.835 236.612 1 184.671 0.989647 
51600 88 244.648 223.318 1 187.92 1 
51700 95 252.947 228 1 185.232 1 
51800 81 238.815 205.222 1 187.988 0.98963 
51900 91 246.791 219.879 1 187.857 1 
52000 108 270.713 252.88 1 187.574 1 
52100 77 256.948 236.636 1 188.779 1 
52200 98 262.245 235.102 1 188.378 1 
52300 87 243.598 218.241 1 190.264 1 
52400 78 244.474 217.538 1 188.115 1 
52500 102 259.745 233.598 1 191.696 0.991373 
52600 74 272.757 260.77 1 187.919 1 
52700 116 255.509 240.095 1 192.112 1 
52800 70 271.857 256.814 1 191.186 1 
52900 129 249.256 235.891 1 191.752 1 
53000 62 292.516 281.774 1 192.71 1 
53100 110 229.864 204.036 1 193.455 1 
53200 79 267.848 253.544 1 193.101 1 
53300 95 253.716 232.116 1 194.053 1 
53400 81 256.951 246.914 1 194.741 1 
53500 83 253.169 240.434 1 194.59 1 
53600 106 257.962 241.868 1 195.509 1 
53700 71 268.972 263.944 1 196.141 1 
53800 119 243.538 224.983 1 195.782 1 
